host,clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],cpu,mem,io
10274,1524552942,294568,117112,2,207,1223,25.04,16.48,34.78,4351,95.9662,0,0.3374,0,0.3207,0,1.4512,1.9234,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5219,79680208896,7166296064,408983552,87.2071,494512128,59996160,90.5219,79680208896,7166296064,68442714112,90.5219,79680208896,7166296064,68442714112,90.5219,79680208896,7166296064,3483123712,4143763456,0,0,0
10274,1524552947,142496,81352,2,207,1189,23.04,16.39,34.2,4677,96,0,0.3206,0,0.3544,0,1.4679,1.9069,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5219,79680208896,7166304256,408983552,87.2071,494512128,59996160,90.5219,79680208896,7166308352,68442714112,90.5219,79680208896,7166296064,68442701824,90.5219,79680208896,7166308352,3483283456,4143763456,0,0,0
10274,1524552952,427672,106576,3,207,1270,21.19,16.3,33.63,4650,96.0338,0,0.3206,0,0.3377,0,1.4006,1.9575,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5219,79680208896,7166316544,408983552,87.2071,494512128,59996160,90.5219,79680208896,7166316544,68442693632,90.5219,79680208896,7166316544,68442693632,90.5219,79680208896,7166316544,3483344896,4143763456,0,0,0
10274,1524552957,168520,123752,2,207,1311,21.19,16.21,33.07,4283,95.9986,0,0.3208,0,0.3546,0,1.4182,1.9585,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5219,79680208896,7166316544,408983552,87.2071,494512128,59996160,90.5219,79680208896,7166324736,68442693632,90.5219,79680208896,7166316544,68442685440,90.5219,79680208896,7166324736,3483328512,4143763456,0,0,0
10274,1524552962,270480,87048,2,207,1166,19.49,16.13,32.52,4849,95.9149,0,0.3884,0,0.3547,0,1.368,1.925,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166337024,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166337024,68442685440,90.5219,79680208896,7166324736,68442673152,90.5218,79680208896,7166337024,3483619328,4143763456,0,0,0
10274,1524552967,172432,570120,2,207,1257,17.93,16.04,31.98,4109,95.9642,0,0.3884,0,0.3547,0,1.3005,2.0436,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166345216,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166345216,68442673152,90.5218,79680208896,7166337024,68442664960,90.5218,79680208896,7166345216,3483627520,4143763456,0,0,0
10274,1524552972,368064,115656,4,207,1184,16.5,15.95,31.45,4746,95.9284,0,0.3719,0,0.3213,0,1.2342,2.0795,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166357504,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166357504,68442652672,90.5218,79680208896,7166357504,68442652672,90.5218,79680208896,7166357504,3483512832,4143763456,0,0,0
10274,1524552977,169056,86872,2,207,1228,13.96,15.87,30.93,4293,96.0771,0,0.3887,0,0.3381,0,1.2337,2.045,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166365696,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166365696,68442652672,90.5218,79680208896,7166357504,68442644480,90.5218,79680208896,7166365696,3483521024,4143763456,0,0,0
10274,1524552982,303208,98336,2,207,1253,12.84,15.78,30.42,4623,95.927,0,0.4227,0,0.321,0,1.2849,2.0118,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166373888,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166373888,68442636288,90.5218,79680208896,7166373888,68442636288,90.5218,79680208896,7166373888,3483463680,4143763456,0,0,0
10274,1524552987,171608,116160,2,207,1255,11.81,15.7,29.91,4766,95.9284,0,0.4053,0,0.321,0,1.3011,2.0605,4250288128,98.9598,4294963200,95.5004,99.7583,95.5004,95.5004,95.5004,90.5218,79680208896,7166386176,408983552,87.2071,494512128,59996160,90.5218,79680208896,7166394368,68442624000,90.5218,79680208896,7166386176,68442615808,90.5218,79680208896,7166394368,3483541504,4143763456,0,0,0
